model,batch,num_recomp,total_recomp_ops,recomp_size_MB,max_allocated_gpu_MB,offline_time_s,training_time_s,budget
EleutherAI/pythia-160m,16,0,0,0,9206.7568359375,4.888903379440308,0.8268618583679199,7168.0
EleutherAI/pythia-160m,16,0,0,0,10421.1826171875,4.8763041496276855,82.33476948738098,7168.0
EleutherAI/pythia-160m,16,0,0,0,13205.8076171875,5.0005223751068115,76.25485134124756,10035.2
EleutherAI/pythia-160m,16,0,0,0,16446.5576171875,4.862012147903442,68.80076193809509,13619.2
facebook/opt-350m,8,0,0,0,11263.69189453125,8.829355955123901,114.082359790802,8192.0
facebook/opt-350m,8,0,0,0,14056.10888671875,8.868513822555542,106.80712294578552,11059.2
facebook/opt-350m,8,0,0,0,17640.55224609375,9.052873373031616,97.43914222717285,14643.2
openai-community/gpt2,8,0,0,0,8192.1328125,4.071069955825806,46.404388189315796,6144.0
openai-community/gpt2,8,0,0,0,9832.57177734375,4.0738685131073,43.859867095947266,7823.36
openai-community/gpt2,8,0,0,0,12019.82373046875,4.092083215713501,40.54885292053223,9922.56
